,ranker,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,matches
151,147,"<a href=""/en/players/67ac5bb8/Gabriel-Dos-Santos""Gabriel Dos Santos","<a href=""/en/country/BRA/Brazil-Football""<span style=""white-space: nowrap""<span class=""f-i f-br"" style=""""br",DF,"<a href=""/en/squads/18bb7c10/Arsenal-Stats""Arsenal",26-074,1997,24,22,"1,996",22.2,4,0,4,4,0,0,2,0,3.0,3.0,0.7,3.7,11,88,7,0.18,0.00,0.18,0.18,0.18,0.14,0.03,0.17,0.14,0.17,"<a href=""/en/players/67ac5bb8/matchlogs/2023-2024/summary/Gabriel-Dos-Santos-Match-Logs""Matches"
152,148,"<a href=""/en/players/02b29014/Abdoulaye-Doucoure""Abdoulaye Doucouré","<a href=""/en/country/MLI/Mali-Football""<span style=""white-space: nowrap""<span class=""f-i f-ml"" style=""""ml","FW,MF","<a href=""/en/squads/d3fd31cc/Everton-Stats""Everton",31-061,1993,20,20,"1,689",18.8,6,0,6,6,0,0,4,0,5.9,5.9,2.4,8.3,34,57,94,0.32,0.00,0.32,0.32,0.32,0.31,0.13,0.44,0.31,0.44,"<a href=""/en/players/02b29014/matchlogs/2023-2024/summary/Abdoulaye-Doucoure-Match-Logs""Matches"
153,149,"<a href=""/en/players/ce4f40c7/Cheick-Doucoure""Cheick Doucouré","<a href=""/en/country/MLI/Mali-Football""<span style=""white-space: nowrap""<span class=""f-i f-ml"" style=""""ml",MF,"<a href=""/en/squads/47c64c55/Crystal-Palace-Stats""Crystal Palace",24-054,2000,11,11,919,10.2,0,0,0,0,0,0,2,0,0.3,0.3,0.7,1.0,9,49,5,0.00,0.00,0.00,0.00,0.00,0.03,0.07,0.10,0.03,0.10,"<a href=""/en/players/ce4f40c7/matchlogs/2023-2024/summary/Cheick-Doucoure-Match-Logs""Matches"
154,150,"<a href=""/en/players/bf33b257/Alfie-Doughty""Alfie Doughty","<a href=""/en/country/ENG/England-Football""<span style=""white-space: nowrap""<span class=""f-i f-gb-eng"" style=""""eng","DF,MF","<a href=""/en/squads/e297cd13/Luton-Town-Stats""Luton Town",24-072,1999,24,21,"1,815",20.2,1,5,6,1,0,0,3,0,0.9,0.9,3.8,4.7,63,69,112,0.05,0.25,0.30,0.05,0.30,0.04,0.19,0.23,0.04,0.23,"<a href=""/en/players/bf33b257/matchlogs/2023-2024/summary/Alfie-Doughty-Match-Logs""Matches"
155,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
156,151,"<a href=""/en/players/5526deb1/Tommy-Doyle""Tommy Doyle","<a href=""/en/country/ENG/England-Football""<span style=""white-space: nowrap""<span class=""f-i f-gb-eng"" style=""""eng",MF,"<a href=""/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats""Wolves",22-137,2001,17,5,643,7.1,0,0,0,0,0,0,2,0,0.2,0.2,0.2,0.4,10,39,9,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.06,0.03,0.06,"<a href=""/en/players/5526deb1/matchlogs/2023-2024/summary/Tommy-Doyle-Match-Logs""Matches"
157,152,"<a href=""/en/players/620922ed/Radu-Dragusin""Radu Drăgușin","<a href=""/en/country/ROU/Romania-Football""<span style=""white-space: nowrap""<span class=""f-i f-ro"" style=""""ro","DF,MF","<a href=""/en/squads/361ca564/Tottenham-Hotspur-Stats""Tottenham",22-028,2002,3,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"<a href=""/en/players/620922ed/matchlogs/2023-2024/summary/Radu-Dragusin-Match-Logs""Matches"
158,153,"<a href=""/en/players/3a949a25/Martin-Dubravka""Martin Dúbravka","<a href=""/en/country/SVK/Slovakia-Football""<span style=""white-space: nowrap""<span class=""f-i f-sk"" style=""""sk",GK,"<a href=""/en/squads/b2b47a98/Newcastle-United-Stats""Newcastle Utd",35-047,1989,12,11,995,11.1,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,"<a href=""/en/players/3a949a25/matchlogs/2023-2024/summary/Martin-Dubravka-Match-Logs""Matches"
159,154,"<a href=""/en/players/3fe6bd8c/Paul-Dummett""Paul Dummett","<a href=""/en/country/WAL/Wales-Football""<span style=""white-space: nowrap""<span class=""f-i f-gb-wls"" style=""""wls",DF,"<a href=""/en/squads/b2b47a98/Newcastle-United-Stats""Newcastle Utd",32-158,1991,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"<a href=""/en/players/3fe6bd8c/matchlogs/2023-2024/summary/Paul-Dummett-Match-Logs""Matches"
160,155,"<a href=""/en/players/282f75f3/Lewis-Dunk""Lewis Dunk","<a href=""/en/country/ENG/England-Football""<span style=""white-space: nowrap""<span class=""f-i f-gb-eng"" style=""""eng",DF,"<a href=""/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats""Brighton",32-102,1991,22,22,"1,956",21.7,3,1,4,3,0,0,6,1,2.9,2.9,0.8,3.7,29,127,11,0.14,0.05,0.18,0.14,0.18,0.13,0.04,0.17,0.13,0.17,"<a href=""/en/players/282f75f3/matchlogs/2023-2024/summary/Lewis-Dunk-Match-Logs""Matches"
161,156,"<a href=""/en/players/414184f7/Jhon-Duran""Jhon Durán","<a href=""/en/country/COL/Colombia-Football""<span style=""white-space: nowrap""<span class=""f-i f-co"" style=""""co","FW,MF","<a href=""/en/squads/8602292d/Aston-Villa-Stats""Aston Villa",20-080,2003,14,0,185,2.1,2,0,2,2,0,0,4,0,1.3,1.3,0.1,1.4,6,4,13,0.97,0.00,0.97,0.97,0.97,0.61,0.05,0.66,0.61,0.66,"<a href=""/en/players/414184f7/matchlogs/2023-2024/summary/Jhon-Duran-Match-Logs""Matches"
162,157,"<a href=""/en/players/3bb7b8b4/Ederson""Ederson","<a href=""/en/country/BRA/Brazil-Football""<span style=""white-space: nowrap""<span class=""f-i f-br"" style=""""br",GK,"<a href=""/en/squads/b8fd03ef/Manchester-City-Stats""Manchester City",30-198,1993,25,25,"2,167",24.1,0,0,0,0,0,0,4,0,0.0,0.0,0.1,0.1,0,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"<a href=""/en/players/3bb7b8b4/matchlogs/2023-2024/summary/Ederson-Match-Logs""Matches"
163,158,"<a href=""/en/players/0562b7f1/Odsonne-Edouard""Odsonne Édouard","<a href=""/en/country/FRA/France-Football""<span style=""white-space: nowrap""<span class=""f-i f-fr"" style=""""fr","FW,MF","<a href=""/en/squads/47c64c55/Crystal-Palace-Stats""Crystal Palace",26-046,1998,20,17,"1,397",15.5,6,0,6,6,0,0,3,0,5.7,5.7,1.1,6.8,31,31,82,0.39,0.00,0.39,0.39,0.39,0.36,0.07,0.44,0.36,0.44,"<a href=""/en/players/0562b7f1/matchlogs/2023-2024/summary/Odsonne-Edouard-Match-Logs""Matches"
