,0
"<a href=""/en/country/NED/Netherlands-Football""<span style=""white-space: nowrap""<span class=""f-i f-nl"" style=""""nl",nationality
DF,position
"<a href=""/en/squads/b8fd03ef/Manchester-City-Stats""Manchester City",team
29-012,age
1995,birth_year
21,games
17,games_starts
"1,547",minutes
17.2,minutes_90s
2,goals
2,assists
4,goals_assists
2,goals_pens
0,pens_made
0,pens_att
0,cards_yellow
0,cards_red
1.6,xg
1.6,npxg
1.2,xg_assist
2.9,npxg_xg_assist
22,progressive_carries
89,progressive_passes
13,progressive_passes_received
0.12,goals_per90
0.12,assists_per90
0.23,goals_assists_per90
0.12,goals_pens_per90
0.23,goals_assists_pens_per90
0.10,xg_per90
0.07,xg_assist_per90
0.17,xg_xg_assist_per90
0.10,npxg_per90
0.17,npxg_xg_assist_per90
"<a href=""/en/players/eaeca114/matchlogs/2023-2024/summary/Nathan-Ake-Match-Logs""Matches",matches
15,ranker
"<a href=""/en/players/77e84962/Thiago-Alcantara""Thiago Alcántara",player
"<a href=""/en/country/ESP/Spain-Football""<span style=""white-space: nowrap""<span class=""f-i f-es"" style=""""es",nationality
MF,position
"<a href=""/en/squads/822bd0ba/Liverpool-Stats""Liverpool",team
32-325,age
1991,birth_year
1,games
0,games_starts
6,minutes
0.1,minutes_90s
0,goals
0,assists
0,goals_assists
0,goals_pens
0,pens_made
0,pens_att
0,cards_yellow
0,cards_red
0.0,xg
0.0,npxg
0.0,xg_assist
0.0,npxg_xg_assist
0,progressive_carries
0,progressive_passes
0,progressive_passes_received
0.00,goals_per90
0.00,assists_per90
0.00,goals_assists_per90
0.00,goals_pens_per90
0.00,goals_assists_pens_per90
0.00,xg_per90
0.00,xg_assist_per90
0.00,xg_xg_assist_per90
0.00,npxg_per90
0.00,npxg_xg_assist_per90
"<a href=""/en/players/77e84962/matchlogs/2023-2024/summary/Thiago-Alcantara-Match-Logs""Matches",matches
16,ranker
"<a href=""/en/players/cd1acf9d/Trent-Alexander-Arnold""Trent Alexander-Arnold",player
"<a href=""/en/country/ENG/England-Football""<span style=""white-space: nowrap""<span class=""f-i f-gb-eng"" style=""""eng",nationality
DF,position
"<a href=""/en/squads/822bd0ba/Liverpool-Stats""Liverpool",team
25-146,age
1998,birth_year
21,games
19,games_starts
"1,622",minutes
18.0,minutes_90s
2,goals
4,assists
6,goals_assists
2,goals_pens
0,pens_made
0,pens_att
5,cards_yellow
0,cards_red
1.8,xg
1.5,npxg
5.5,xg_assist
7.0,npxg_xg_assist
31,progressive_carries
153,progressive_passes
65,progressive_passes_received
0.11,goals_per90
0.22,assists_per90
0.33,goals_assists_per90
0.11,goals_pens_per90
0.33,goals_assists_pens_per90
0.10,xg_per90
0.30,xg_assist_per90
0.40,xg_xg_assist_per90
